Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	9.625637
1	CPI Rate	0.509482
1	Average CPU Frequency	2640614257.094018
1	Total Thread Count	20
0	Effective Physical Core Utilization	52.3% (10.458 out of 20)
1	Effective Logical Core Utilization	27.4% (10.976 out of 40)
0	Memory Bound	17.5
1	Cache Bound	9.1
1	DRAM Bound	N/A with HT on
2	DRAM Bandwidth Bound	0.0
1	NUMA: % of Remote Accesses	0.0
1	Bandwidth Utilization	
1	Bandwidth Domain	Platform Maximum	Observed Maximum	Average	% of Elapsed Time with High BW Utilization(%)
1	DRAM, GB/sec	126.000000	1.100000	0.0	0.0
1	DRAM Single-Package, GB/sec	63.000000	0.600000	0.0	0.0
0	Collection and Platform Info	
1	Application Command Line	./collapse.mtp "640" "480" "900" "hype5/640x480/collapse/900/20/2/output.png" 
1	Operating System	6.1.0-28-amd64 12.12
1	Computer Name	hype5
1	Result Size	54015939
1	Collection start time	04:14:15 22/09/2025 UTC
1	Collection stop time	04:14:25 22/09/2025 UTC
1	Collector Type	Driverless Perf per-process sampling
1	CPU	
2	Name	Intel(R) Xeon(R) E5/E7 v3 Processor code named Haswell
2	Frequency	2294686061
2	Logical CPU Count	40
2	Max DRAM Single-Package Bandwidth	63000000000.000000
