Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	1020.045210
1	CPI Rate	4.718167
1	Average CPU Frequency	2593820415.196624
1	Total Thread Count	40
0	Effective Physical Core Utilization	99.0% (19.801 out of 20)
1	Effective Logical Core Utilization	99.0% (39.597 out of 40)
0	Memory Bound	64.4
1	Cache Bound	48.9
1	DRAM Bound	N/A with HT on
2	DRAM Bandwidth Bound	0.0
1	NUMA: % of Remote Accesses	0.0
1	Bandwidth Utilization	
1	Bandwidth Domain	Platform Maximum	Observed Maximum	Average	% of Elapsed Time with High BW Utilization(%)
1	DRAM, GB/sec	122.000000	14.300000	2.973780	0.0
1	DRAM Single-Package, GB/sec	61.000000	10.600000	1.974226	0.0
0	Collection and Platform Info	
1	Application Command Line	./samples.mtp "3840" "2160" "900" "hype5/3840x2160/samples/900/40/3/output.png" 
1	Operating System	6.1.0-28-amd64 12.12
1	Computer Name	hype5
1	Result Size	1602996010
1	Collection start time	09:14:32 22/09/2025 UTC
1	Collection stop time	09:31:32 22/09/2025 UTC
1	Collector Type	Driverless Perf per-process sampling
1	CPU	
2	Name	Intel(R) Xeon(R) E5/E7 v3 Processor code named Haswell
2	Frequency	2294686031
2	Logical CPU Count	40
2	Max DRAM Single-Package Bandwidth	61000000000.000000
