event,seconds
MPI_Init,1.611114
MPI_Comm_rank,0.000002
MPI_Comm_size,0.000001
MPI_Isend,0.000724
MPI_Isend,0.000410
MPI_Isend,0.000474
MPI_Isend,0.000437
MPI_Isend,0.006591
MPI_Isend,0.003775
MPI_Isend,0.005643
MPI_Isend,0.000453
MPI_Isend,0.004008
MPI_Isend,0.004482
MPI_Isend,0.004118
MPI_Isend,0.005254
MPI_Isend,0.003554
MPI_Isend,0.005320
MPI_Isend,0.003775
MPI_Ibcast,0.076995
MPI_Wait,0.476964
MPI_Irecv,0.000030
MPI_Wait,8.910045
MPI_Irecv,0.000003
MPI_Wait,87.844680
MPI_Irecv,0.000017
MPI_Wait,0.034697
MPI_Irecv,0.000957
MPI_Wait,0.004281
MPI_Irecv,0.000894
MPI_Wait,0.003996
MPI_Irecv,0.000677
MPI_Wait,0.003920
MPI_Irecv,0.000633
MPI_Wait,0.004150
MPI_Irecv,0.001213
MPI_Wait,0.003995
MPI_Irecv,0.001147
MPI_Wait,0.003930
MPI_Irecv,0.000955
MPI_Wait,0.003971
MPI_Irecv,0.000900
MPI_Wait,0.003970
MPI_Irecv,0.000002
MPI_Wait,14.270955
MPI_Irecv,0.000662
MPI_Wait,0.003908
MPI_Irecv,0.000001
MPI_Wait,5.891027
MPI_Irecv,0.001358
MPI_Wait,0.003998
ELAPSED_TIME,777.981032
MPI_Finalize,1.586435
