event,seconds
MPI_Init,1.522229
MPI_Comm_rank,0.000001
MPI_Comm_size,0.000012
MPI_Isend,0.000182
MPI_Isend,0.000044
MPI_Isend,0.000039
MPI_Isend,0.000042
MPI_Isend,0.000054
MPI_Isend,0.000043
MPI_Isend,0.000041
MPI_Isend,0.000042
MPI_Isend,0.003309
MPI_Isend,0.003017
MPI_Isend,0.003033
MPI_Isend,0.005141
MPI_Isend,0.003269
MPI_Isend,0.004905
MPI_Isend,0.003045
MPI_Isend,0.000043
MPI_Isend,0.003971
MPI_Isend,0.004799
MPI_Isend,0.003071
MPI_Isend,0.004978
MPI_Isend,0.003009
MPI_Isend,0.004752
MPI_Isend,0.003157
MPI_Isend,0.005417
MPI_Isend,0.003036
MPI_Isend,0.005258
MPI_Isend,0.003120
MPI_Isend,0.005253
MPI_Isend,0.003069
MPI_Isend,0.005152
MPI_Isend,0.003136
MPI_Ibcast,0.000694
MPI_Wait,0.004503
MPI_Irecv,0.000005
MPI_Wait,0.000256
MPI_Irecv,0.000001
MPI_Wait,0.000089
MPI_Irecv,0.000001
MPI_Wait,0.000085
MPI_Irecv,0.000001
MPI_Wait,0.000069
MPI_Irecv,0.000001
MPI_Wait,0.000096
MPI_Irecv,0.000001
MPI_Wait,0.000093
MPI_Irecv,0.000001
MPI_Wait,0.000090
MPI_Irecv,0.000069
MPI_Wait,0.000113
MPI_Irecv,0.000064
MPI_Wait,0.000126
MPI_Irecv,0.000050
MPI_Wait,0.000096
MPI_Irecv,0.000037
MPI_Wait,0.000111
MPI_Irecv,0.000032
MPI_Wait,0.000119
MPI_Irecv,0.000032
MPI_Wait,0.000114
MPI_Irecv,0.000034
MPI_Wait,0.000111
MPI_Irecv,0.000000
MPI_Wait,0.192093
MPI_Irecv,0.000053
MPI_Wait,0.000094
MPI_Irecv,0.000034
MPI_Wait,0.000089
MPI_Irecv,0.000042
MPI_Wait,0.000105
MPI_Irecv,0.000036
MPI_Wait,0.000118
MPI_Irecv,0.000035
MPI_Wait,0.000112
MPI_Irecv,0.000038
MPI_Wait,0.000106
MPI_Irecv,0.000038
MPI_Wait,0.000109
MPI_Irecv,0.000037
MPI_Wait,0.000113
MPI_Irecv,0.000034
MPI_Wait,0.000115
MPI_Irecv,0.000038
MPI_Wait,0.000106
MPI_Irecv,0.000034
MPI_Wait,0.000112
MPI_Irecv,0.000058
MPI_Wait,0.000105
MPI_Irecv,0.000047
MPI_Wait,0.000146
MPI_Irecv,0.000036
MPI_Wait,0.000110
MPI_Irecv,0.000041
MPI_Wait,0.000106
MPI_Irecv,0.000002
MPI_Wait,0.016441
ELAPSED_TIME,0.719873
MPI_Finalize,1.766555
