event,seconds
MPI_Init,0.703345
MPI_Comm_rank,0.000001
MPI_Comm_size,0.000001
MPI_Isend,0.000182
MPI_Isend,0.000147
MPI_Isend,0.000343
MPI_Isend,0.000113
MPI_Isend,0.000398
MPI_Isend,0.000269
MPI_Isend,0.000339
MPI_Isend,0.000083
MPI_Isend,0.001303
MPI_Isend,0.001487
MPI_Isend,0.002197
MPI_Isend,0.001773
MPI_Isend,0.001761
MPI_Isend,0.002148
MPI_Isend,0.002149
MPI_Isend,0.000061
MPI_Isend,0.002188
MPI_Isend,0.002189
MPI_Isend,0.002415
MPI_Isend,0.002209
MPI_Isend,0.002220
MPI_Isend,0.002555
MPI_Isend,0.002554
MPI_Isend,0.002119
MPI_Isend,0.002011
MPI_Isend,0.002464
MPI_Isend,0.002113
MPI_Isend,0.002256
MPI_Isend,0.002043
MPI_Isend,0.002040
MPI_Isend,0.002332
MPI_Ibcast,0.006043
MPI_Wait,0.941021
MPI_Irecv,0.000105
MPI_Wait,0.058442
MPI_Irecv,0.000078
MPI_Wait,0.000174
MPI_Irecv,0.000007
MPI_Wait,0.014173
MPI_Irecv,0.000072
MPI_Wait,0.000170
MPI_Irecv,0.000068
MPI_Wait,0.000169
MPI_Irecv,0.000003
MPI_Wait,0.007631
MPI_Irecv,0.000006
MPI_Wait,0.012409
MPI_Irecv,0.000050
MPI_Wait,0.013104
MPI_Irecv,0.000007
MPI_Wait,0.505416
MPI_Irecv,0.000044
MPI_Wait,0.001907
MPI_Irecv,0.000024
MPI_Wait,0.002043
MPI_Irecv,0.000046
MPI_Wait,0.001474
MPI_Irecv,0.000026
MPI_Wait,0.002588
MPI_Irecv,0.000046
MPI_Wait,0.001527
MPI_Irecv,0.000042
MPI_Wait,0.001521
MPI_Irecv,0.000045
MPI_Wait,0.001592
MPI_Irecv,0.000045
MPI_Wait,0.001470
MPI_Irecv,0.000046
MPI_Wait,0.001450
MPI_Irecv,0.000048
MPI_Wait,0.001439
MPI_Irecv,0.000044
MPI_Wait,0.001431
MPI_Irecv,0.000048
MPI_Wait,0.001426
MPI_Irecv,0.000045
MPI_Wait,0.001556
MPI_Irecv,0.000047
MPI_Wait,0.001433
MPI_Irecv,0.000049
MPI_Wait,0.001492
MPI_Irecv,0.000022
MPI_Wait,0.002035
MPI_Irecv,0.000018
MPI_Wait,0.002162
MPI_Irecv,0.000018
MPI_Wait,0.002631
MPI_Irecv,0.000043
MPI_Wait,0.001561
MPI_Irecv,0.000020
MPI_Wait,0.002110
MPI_Irecv,0.000018
MPI_Wait,0.002124
MPI_Irecv,0.000018
MPI_Wait,0.002162
ELAPSED_TIME,1.962554
MPI_Finalize,1.009105
