Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	233.634999
1	CPI Rate	0.852446
1	Average CPU Frequency	2594200558.173408
1	Total Thread Count	20
0	Effective Physical Core Utilization	97.7% (19.546 out of 20)
1	Effective Logical Core Utilization	49.3% (19.705 out of 40)
0	Memory Bound	39.4
1	Cache Bound	10.7
1	DRAM Bound	N/A with HT on
2	DRAM Bandwidth Bound	0.0
1	NUMA: % of Remote Accesses	0.0
1	Bandwidth Utilization	
1	Bandwidth Domain	Platform Maximum	Observed Maximum	Average	% of Elapsed Time with High BW Utilization(%)
1	DRAM, GB/sec	124.000000	13.800000	4.771160	0.0
1	DRAM Single-Package, GB/sec	62.000000	13.700000	5.046333	0.0
0	Collection and Platform Info	
1	Application Command Line	./tasks.mtp "3840" "2160" "900" "hype5/3840x2160/tasks/900/20/2/output.png" 
1	Operating System	6.1.0-28-amd64 12.12
1	Computer Name	hype5
1	Result Size	815846745
1	Collection start time	04:03:32 22/09/2025 UTC
1	Collection stop time	04:07:26 22/09/2025 UTC
1	Collector Type	Driverless Perf per-process sampling
1	CPU	
2	Name	Intel(R) Xeon(R) E5/E7 v3 Processor code named Haswell
2	Frequency	2294686032
2	Logical CPU Count	40
2	Max DRAM Single-Package Bandwidth	62000000000.000000
