event,seconds
MPI_Init,1.658109
MPI_Comm_rank,0.000009
MPI_Comm_size,0.000003
MPI_Send,0.000643
MPI_Send,0.000507
MPI_Send,0.000449
MPI_Send,0.000548
MPI_Send,0.011585
MPI_Send,0.008350
MPI_Send,0.009003
MPI_Send,0.000462
MPI_Send,0.008604
MPI_Send,0.007988
MPI_Send,0.008861
MPI_Send,0.008135
MPI_Send,0.008433
MPI_Send,0.008563
MPI_Send,0.008729
MPI_Bcast,0.035458
MPI_Recv,0.001644
MPI_Recv,0.000152
MPI_Recv,0.000544
MPI_Recv,0.107809
MPI_Recv,0.000165
MPI_Recv,0.000153
MPI_Recv,0.000152
MPI_Recv,0.000077
MPI_Recv,0.000159
MPI_Recv,0.000181
MPI_Recv,0.000161
MPI_Recv,0.000144
MPI_Recv,0.000147
MPI_Recv,0.000216
MPI_Recv,0.000227
ELAPSED_TIME,0.572486
MPI_Finalize,1.626277
