event,seconds
MPI_Init,0.692447
MPI_Comm_rank,0.000008
MPI_Comm_size,0.000001
MPI_Isend,0.002217
MPI_Isend,0.002191
MPI_Isend,0.027716
MPI_Isend,0.002054
MPI_Isend,0.022828
MPI_Isend,0.002904
MPI_Isend,0.021822
MPI_Isend,0.000099
MPI_Isend,0.005963
MPI_Isend,0.005353
MPI_Isend,0.004497
MPI_Isend,0.003885
MPI_Isend,0.003433
MPI_Isend,0.003636
MPI_Isend,0.003967
MPI_Isend,0.000066
MPI_Isend,0.003417
MPI_Isend,0.003728
MPI_Isend,0.003304
MPI_Isend,0.003840
MPI_Isend,0.002969
MPI_Isend,0.003548
MPI_Isend,0.003583
MPI_Isend,0.003319
MPI_Isend,0.003273
MPI_Isend,0.003001
MPI_Isend,0.003300
MPI_Isend,0.003498
MPI_Isend,0.003553
MPI_Isend,0.003428
MPI_Isend,0.003273
MPI_Ibcast,0.963444
MPI_Wait,113.993774
MPI_Irecv,0.000133
MPI_Wait,8.661328
MPI_Irecv,0.000012
MPI_Wait,1.958210
MPI_Irecv,0.000091
MPI_Wait,0.009497
MPI_Irecv,0.000011
MPI_Wait,0.928939
MPI_Irecv,0.000069
MPI_Wait,0.009532
MPI_Irecv,0.000062
MPI_Wait,0.014112
MPI_Irecv,0.000068
MPI_Wait,0.009145
MPI_Irecv,0.000009
MPI_Wait,66.777195
MPI_Irecv,0.000094
MPI_Wait,0.211872
MPI_Irecv,0.000009
MPI_Wait,0.845792
MPI_Irecv,0.000059
MPI_Wait,0.212024
MPI_Irecv,0.000061
MPI_Wait,0.211777
MPI_Irecv,0.000071
MPI_Wait,0.211889
MPI_Irecv,0.000058
MPI_Wait,0.211780
MPI_Irecv,0.000065
MPI_Wait,0.211817
MPI_Irecv,0.000078
MPI_Wait,0.211942
MPI_Irecv,0.000075
MPI_Wait,0.211890
MPI_Irecv,0.000071
MPI_Wait,0.211848
MPI_Irecv,0.000071
MPI_Wait,0.211866
MPI_Irecv,0.000069
MPI_Wait,0.211927
MPI_Irecv,0.000069
MPI_Wait,0.211874
MPI_Irecv,0.000067
MPI_Wait,0.211920
MPI_Irecv,0.000073
MPI_Wait,0.211848
MPI_Irecv,0.000083
MPI_Wait,0.211888
MPI_Irecv,0.000098
MPI_Wait,0.211866
MPI_Irecv,0.000081
MPI_Wait,0.211832
MPI_Irecv,0.000067
MPI_Wait,0.211834
MPI_Irecv,0.000068
MPI_Wait,0.211932
MPI_Irecv,0.000063
MPI_Wait,0.211905
MPI_Irecv,0.000067
MPI_Wait,0.211848
MPI_Irecv,0.000066
MPI_Wait,0.211899
ELAPSED_TIME,606.952411
MPI_Finalize,1.010623
