event,seconds
MPI_Init,1.668429
MPI_Comm_rank,0.000001
MPI_Comm_size,0.000001
MPI_Isend,0.000480
MPI_Isend,0.000161
MPI_Isend,0.000147
MPI_Isend,0.000146
MPI_Isend,0.000175
MPI_Isend,0.000172
MPI_Isend,0.000155
MPI_Isend,0.000171
MPI_Isend,0.000132
MPI_Isend,0.000135
MPI_Isend,0.000143
MPI_Isend,0.000138
MPI_Isend,0.000155
MPI_Isend,0.000158
MPI_Isend,0.000159
MPI_Isend,0.000202
MPI_Isend,0.006302
MPI_Isend,0.003781
MPI_Isend,0.005480
MPI_Isend,0.002875
MPI_Isend,0.004618
MPI_Isend,0.002725
MPI_Isend,0.003580
MPI_Isend,0.003624
MPI_Isend,0.004436
MPI_Isend,0.002589
MPI_Isend,0.002618
MPI_Isend,0.004557
MPI_Isend,0.003598
MPI_Isend,0.004407
MPI_Isend,0.002736
MPI_Isend,0.000154
MPI_Isend,0.004674
MPI_Isend,0.002968
MPI_Isend,0.002735
MPI_Isend,0.002751
MPI_Isend,0.005206
MPI_Isend,0.004584
MPI_Isend,0.002713
MPI_Isend,0.002860
MPI_Isend,0.004736
MPI_Isend,0.002753
MPI_Isend,0.003632
MPI_Isend,0.004333
MPI_Isend,0.003474
MPI_Isend,0.003442
MPI_Isend,0.003640
MPI_Isend,0.000261
MPI_Isend,0.003758
MPI_Isend,0.003741
MPI_Isend,0.003567
MPI_Isend,0.002589
MPI_Isend,0.004510
MPI_Isend,0.002717
MPI_Isend,0.005296
MPI_Isend,0.000263
MPI_Isend,0.002685
MPI_Isend,0.004601
MPI_Isend,0.002578
MPI_Isend,0.000213
MPI_Isend,0.004437
MPI_Isend,0.000285
MPI_Isend,0.000367
MPI_Ibcast,0.074340
MPI_Wait,0.433972
MPI_Irecv,0.000047
MPI_Wait,1.523667
MPI_Irecv,0.000003
MPI_Wait,0.823544
MPI_Irecv,0.000003
MPI_Wait,0.171806
MPI_Irecv,0.000003
MPI_Wait,4.186344
MPI_Irecv,0.000018
MPI_Wait,0.006616
MPI_Irecv,0.000008
MPI_Wait,0.006981
MPI_Irecv,0.000009
MPI_Wait,0.006084
MPI_Irecv,0.000008
MPI_Wait,0.003428
MPI_Irecv,0.000013
MPI_Wait,0.003260
MPI_Irecv,0.000025
MPI_Wait,0.003240
MPI_Irecv,0.000014
MPI_Wait,0.003214
MPI_Irecv,0.000014
MPI_Wait,0.003458
MPI_Irecv,0.000002
MPI_Wait,2.639239
MPI_Irecv,0.000005
MPI_Wait,0.003279
MPI_Irecv,0.000001
MPI_Wait,0.012114
MPI_Irecv,0.000436
MPI_Wait,0.001406
MPI_Irecv,0.004800
MPI_Wait,0.001088
MPI_Irecv,0.000286
MPI_Wait,0.001147
MPI_Irecv,0.000264
MPI_Wait,0.001121
MPI_Irecv,0.001414
MPI_Wait,0.001117
MPI_Irecv,0.000258
MPI_Wait,0.001115
MPI_Irecv,0.000249
MPI_Wait,0.001086
MPI_Irecv,0.000236
MPI_Wait,0.001085
MPI_Irecv,0.000243
MPI_Wait,0.001146
MPI_Irecv,0.000220
MPI_Wait,0.001198
MPI_Irecv,0.000433
MPI_Wait,0.001131
MPI_Irecv,0.000182
MPI_Wait,0.001060
MPI_Irecv,0.000188
MPI_Wait,0.001119
MPI_Irecv,0.000197
MPI_Wait,0.001065
MPI_Irecv,0.000001
MPI_Wait,0.637893
MPI_Irecv,0.000402
MPI_Wait,0.001104
MPI_Irecv,0.000409
MPI_Wait,0.001085
MPI_Irecv,0.000388
MPI_Wait,0.001067
MPI_Irecv,0.000362
MPI_Wait,0.001120
MPI_Irecv,0.000908
MPI_Wait,0.001161
MPI_Irecv,0.000326
MPI_Wait,0.001100
MPI_Irecv,0.000327
MPI_Wait,0.001180
MPI_Irecv,0.000350
MPI_Wait,0.001096
MPI_Irecv,0.000000
MPI_Wait,0.849154
MPI_Irecv,0.000334
MPI_Wait,0.001194
MPI_Irecv,0.000338
MPI_Wait,0.001174
MPI_Irecv,0.000309
MPI_Wait,0.001076
MPI_Irecv,0.000275
MPI_Wait,0.001261
MPI_Irecv,0.000287
MPI_Wait,0.001180
MPI_Irecv,0.000267
MPI_Wait,0.001242
MPI_Irecv,0.000269
MPI_Wait,0.001168
MPI_Irecv,0.000252
MPI_Wait,0.001122
MPI_Irecv,0.000000
MPI_Wait,1.234126
MPI_Irecv,0.000001
MPI_Wait,7.974610
MPI_Irecv,0.000232
MPI_Wait,0.001124
MPI_Irecv,0.000188
MPI_Wait,0.001114
MPI_Irecv,0.000180
MPI_Wait,0.001103
MPI_Irecv,0.000165
MPI_Wait,0.001163
MPI_Irecv,0.000183
MPI_Wait,0.001134
MPI_Irecv,0.000187
MPI_Wait,0.001136
MPI_Irecv,0.000424
MPI_Wait,0.001373
MPI_Irecv,0.000392
MPI_Wait,0.001094
MPI_Irecv,0.000376
MPI_Wait,0.001108
MPI_Irecv,0.000362
MPI_Wait,0.001086
MPI_Irecv,0.000356
MPI_Wait,0.001080
MPI_Irecv,0.000346
MPI_Wait,0.001075
MPI_Irecv,0.000358
MPI_Wait,0.001117
MPI_Irecv,0.000487
MPI_Wait,0.001113
ELAPSED_TIME,206.179776
MPI_Finalize,2.426423
