event,seconds
MPI_Init,0.649782
MPI_Comm_rank,0.000008
MPI_Comm_size,0.000001
MPI_Isend,0.001944
MPI_Isend,0.001757
MPI_Isend,0.016442
MPI_Isend,0.000120
MPI_Isend,0.050472
MPI_Isend,0.003362
MPI_Isend,0.003925
MPI_Isend,0.000063
MPI_Isend,0.004328
MPI_Isend,0.004041
MPI_Isend,0.003586
MPI_Isend,0.003692
MPI_Isend,0.003332
MPI_Isend,0.003240
MPI_Isend,0.003531
MPI_Ibcast,0.008780
MPI_Wait,59.332280
MPI_Irecv,0.000128
MPI_Wait,0.018367
MPI_Irecv,0.000066
MPI_Wait,0.030332
MPI_Irecv,0.000069
MPI_Wait,0.029239
MPI_Irecv,0.000012
MPI_Wait,54.981464
MPI_Irecv,0.000028
MPI_Wait,3.397503
MPI_Irecv,0.000070
MPI_Wait,0.424411
MPI_Irecv,0.000067
MPI_Wait,0.424360
MPI_Irecv,0.000072
MPI_Wait,0.424326
MPI_Irecv,0.000072
MPI_Wait,0.424323
MPI_Irecv,0.000084
MPI_Wait,0.424333
MPI_Irecv,0.000070
MPI_Wait,0.424324
MPI_Irecv,0.000073
MPI_Wait,0.424347
MPI_Irecv,0.000073
MPI_Wait,0.424239
MPI_Irecv,0.000067
MPI_Wait,0.424389
MPI_Irecv,0.000066
MPI_Wait,0.424355
ELAPSED_TIME,923.412907
MPI_Finalize,1.008717
