event,seconds
MPI_Init,1.593580
MPI_Comm_rank,0.000008
MPI_Comm_size,0.000001
MPI_Isend,0.000446
MPI_Isend,0.000230
MPI_Isend,0.000268
MPI_Isend,0.000264
MPI_Isend,0.000238
MPI_Isend,0.000244
MPI_Isend,0.000317
MPI_Isend,0.000307
MPI_Isend,0.009873
MPI_Isend,0.007617
MPI_Isend,0.003869
MPI_Isend,0.003063
MPI_Isend,0.004724
MPI_Isend,0.002849
MPI_Isend,0.005137
MPI_Isend,0.000275
MPI_Isend,0.003100
MPI_Isend,0.004868
MPI_Isend,0.003131
MPI_Isend,0.004707
MPI_Isend,0.002987
MPI_Isend,0.004235
MPI_Isend,0.003551
MPI_Isend,0.004016
MPI_Isend,0.003762
MPI_Isend,0.003476
MPI_Isend,0.004657
MPI_Isend,0.002887
MPI_Isend,0.005120
MPI_Isend,0.002989
MPI_Isend,0.005430
MPI_Ibcast,0.028548
MPI_Wait,0.422636
MPI_Irecv,0.000032
MPI_Wait,9.099280
MPI_Irecv,0.000013
MPI_Wait,0.006371
MPI_Irecv,0.000008
MPI_Wait,0.006481
MPI_Irecv,0.000007
MPI_Wait,0.006829
MPI_Irecv,0.000001
MPI_Wait,11.182885
MPI_Irecv,0.000010
MPI_Wait,0.006626
MPI_Irecv,0.000008
MPI_Wait,0.006716
MPI_Irecv,0.000746
MPI_Wait,0.002580
MPI_Irecv,0.000590
MPI_Wait,0.002036
MPI_Irecv,0.000533
MPI_Wait,0.002040
MPI_Irecv,0.000587
MPI_Wait,0.002093
MPI_Irecv,0.000536
MPI_Wait,0.002109
MPI_Irecv,0.000455
MPI_Wait,0.002061
MPI_Irecv,0.000418
MPI_Wait,0.002114
MPI_Irecv,0.000425
MPI_Wait,0.002023
MPI_Irecv,0.000408
MPI_Wait,0.002111
MPI_Irecv,0.000320
MPI_Wait,0.002047
MPI_Irecv,0.000288
MPI_Wait,0.002083
MPI_Irecv,0.000742
MPI_Wait,0.002076
MPI_Irecv,0.000707
MPI_Wait,0.002148
MPI_Irecv,0.000636
MPI_Wait,0.002154
MPI_Irecv,0.000583
MPI_Wait,0.002232
MPI_Irecv,0.000589
MPI_Wait,0.002119
MPI_Irecv,0.000001
MPI_Wait,6.918595
MPI_Irecv,0.000001
MPI_Wait,4.183646
MPI_Irecv,0.000001
MPI_Wait,1.688065
MPI_Irecv,0.000001
MPI_Wait,2.005896
MPI_Irecv,0.000423
MPI_Wait,0.002037
MPI_Irecv,0.000334
MPI_Wait,0.002165
MPI_Irecv,0.000300
MPI_Wait,0.002117
MPI_Irecv,0.000563
MPI_Wait,0.002028
ELAPSED_TIME,386.337725
MPI_Finalize,1.772165
