event,seconds
MPI_Init,0.922245
MPI_Comm_rank,0.000008
MPI_Comm_size,0.000001
MPI_Isend,0.002002
MPI_Isend,0.002067
MPI_Isend,0.010818
MPI_Isend,0.001224
MPI_Isend,0.011349
MPI_Isend,0.002149
MPI_Isend,0.010775
MPI_Isend,0.001804
MPI_Isend,0.008598
MPI_Isend,0.005101
MPI_Isend,0.010032
MPI_Isend,0.001855
MPI_Isend,0.010516
MPI_Isend,0.002340
MPI_Isend,0.012865
MPI_Isend,0.000093
MPI_Isend,0.003787
MPI_Isend,0.002668
MPI_Isend,0.003116
MPI_Isend,0.003464
MPI_Isend,0.003246
MPI_Isend,0.003080
MPI_Isend,0.003218
MPI_Isend,0.003410
MPI_Isend,0.003552
MPI_Isend,0.003416
MPI_Isend,0.003434
MPI_Isend,0.003456
MPI_Isend,0.002794
MPI_Isend,0.003286
MPI_Isend,0.003696
MPI_Isend,0.000062
MPI_Isend,0.003349
MPI_Isend,0.003137
MPI_Isend,0.003326
MPI_Isend,0.003034
MPI_Isend,0.003063
MPI_Isend,0.028303
MPI_Isend,0.003150
MPI_Isend,0.002932
MPI_Isend,0.003337
MPI_Isend,0.003223
MPI_Isend,0.003367
MPI_Isend,0.003201
MPI_Isend,0.003594
MPI_Isend,0.003357
MPI_Isend,0.003266
MPI_Isend,0.000067
MPI_Isend,0.002925
MPI_Isend,0.003124
MPI_Isend,0.003192
MPI_Isend,0.003166
MPI_Isend,0.003262
MPI_Isend,0.003728
MPI_Isend,0.003415
MPI_Isend,0.000079
MPI_Isend,0.003325
MPI_Isend,0.003222
MPI_Isend,0.003210
MPI_Isend,0.000073
MPI_Isend,0.003358
MPI_Isend,0.000081
MPI_Isend,0.000064
MPI_Ibcast,0.501239
MPI_Wait,222.274974
MPI_Irecv,0.000125
MPI_Wait,0.147184
MPI_Irecv,0.000067
MPI_Wait,0.006626
MPI_Irecv,0.000070
MPI_Wait,0.004502
MPI_Irecv,0.000061
MPI_Wait,0.006674
MPI_Irecv,0.000067
MPI_Wait,0.006795
MPI_Irecv,0.000054
MPI_Wait,0.004551
MPI_Irecv,0.000058
MPI_Wait,0.005043
MPI_Irecv,0.000060
MPI_Wait,0.004877
MPI_Irecv,0.000053
MPI_Wait,0.006726
MPI_Irecv,0.000064
MPI_Wait,0.006392
MPI_Irecv,0.000065
MPI_Wait,0.007284
MPI_Irecv,0.000060
MPI_Wait,0.004620
MPI_Irecv,0.000052
MPI_Wait,0.006675
MPI_Irecv,0.000008
MPI_Wait,0.190112
MPI_Irecv,0.000065
MPI_Wait,0.004781
MPI_Irecv,0.000008
MPI_Wait,105.078119
MPI_Irecv,0.000027
MPI_Wait,2.124032
MPI_Irecv,0.000007
MPI_Wait,1.229600
MPI_Irecv,0.000008
MPI_Wait,0.726160
MPI_Irecv,0.000007
MPI_Wait,0.379011
MPI_Irecv,0.000074
MPI_Wait,0.107791
MPI_Irecv,0.000061
MPI_Wait,0.105711
MPI_Irecv,0.000056
MPI_Wait,0.105523
MPI_Irecv,0.000059
MPI_Wait,0.105525
MPI_Irecv,0.000063
MPI_Wait,0.105625
MPI_Irecv,0.000057
MPI_Wait,0.105543
MPI_Irecv,0.000066
MPI_Wait,0.105659
MPI_Irecv,0.000063
MPI_Wait,0.105604
MPI_Irecv,0.000065
MPI_Wait,0.105614
MPI_Irecv,0.000063
MPI_Wait,0.105660
MPI_Irecv,0.000057
MPI_Wait,0.105614
MPI_Irecv,0.000075
MPI_Wait,0.105621
MPI_Irecv,0.000066
MPI_Wait,0.105645
MPI_Irecv,0.000063
MPI_Wait,0.105618
MPI_Irecv,0.000070
MPI_Wait,0.105658
MPI_Irecv,0.000060
MPI_Wait,0.105644
MPI_Irecv,0.000065
MPI_Wait,0.105648
MPI_Irecv,0.000090
MPI_Wait,0.105640
MPI_Irecv,0.000065
MPI_Wait,0.105664
MPI_Irecv,0.000060
MPI_Wait,0.105596
MPI_Irecv,0.000064
MPI_Wait,0.105666
MPI_Irecv,0.000063
MPI_Wait,0.105603
MPI_Irecv,0.000065
MPI_Wait,0.105659
MPI_Irecv,0.000060
MPI_Wait,0.105656
MPI_Irecv,0.000071
MPI_Wait,0.105614
MPI_Irecv,0.000061
MPI_Wait,0.105629
MPI_Irecv,0.000059
MPI_Wait,0.105619
MPI_Irecv,0.000063
MPI_Wait,0.105622
MPI_Irecv,0.000062
MPI_Wait,0.105630
MPI_Irecv,0.000060
MPI_Wait,0.105639
MPI_Irecv,0.000062
MPI_Wait,0.105643
MPI_Irecv,0.000061
MPI_Wait,0.105620
MPI_Irecv,0.000060
MPI_Wait,0.105624
MPI_Irecv,0.000066
MPI_Wait,0.105632
MPI_Irecv,0.000062
MPI_Wait,0.105619
MPI_Irecv,0.000064
MPI_Wait,0.105654
MPI_Irecv,0.000060
MPI_Wait,0.105629
MPI_Irecv,0.000060
MPI_Wait,0.105622
MPI_Irecv,0.000062
MPI_Wait,0.105620
MPI_Irecv,0.000061
MPI_Wait,0.105606
MPI_Irecv,0.000063
MPI_Wait,0.105660
MPI_Irecv,0.000062
MPI_Wait,0.105615
MPI_Irecv,0.000066
MPI_Wait,0.105631
ELAPSED_TIME,580.073121
MPI_Finalize,1.014499
