Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	152.177454
1	CPI Rate	3.479501
1	Average CPU Frequency	2594018819.704577
1	Total Thread Count	40
0	Effective Physical Core Utilization	97.7% (19.538 out of 20)
1	Effective Logical Core Utilization	97.6% (39.053 out of 40)
0	Memory Bound	45.5
1	Cache Bound	34.7
1	DRAM Bound	N/A with HT on
2	DRAM Bandwidth Bound	0.0
1	NUMA: % of Remote Accesses	100.0
1	Bandwidth Utilization	
1	Bandwidth Domain	Platform Maximum	Observed Maximum	Average	% of Elapsed Time with High BW Utilization(%)
1	DRAM, GB/sec	126.000000	21.500000	2.943866	0.0
1	DRAM Single-Package, GB/sec	63.000000	10.800000	1.943389	0.0
0	Collection and Platform Info	
1	Application Command Line	./samples.mtp "3840" "2160" "30" "hype5/3840x2160/samples/30/40/2/output.png" 
1	Operating System	6.1.0-28-amd64 12.12
1	Computer Name	hype5
1	Result Size	635586847
1	Collection start time	02:30:44 22/09/2025 UTC
1	Collection stop time	02:33:16 22/09/2025 UTC
1	Collector Type	Driverless Perf per-process sampling
1	CPU	
2	Name	Intel(R) Xeon(R) E5/E7 v3 Processor code named Haswell
2	Frequency	2294686033
2	Logical CPU Count	40
2	Max DRAM Single-Package Bandwidth	63000000000.000000
