event,seconds
MPI_Init,1.663998
MPI_Comm_rank,0.000008
MPI_Comm_size,0.000003
MPI_Isend,0.000215
MPI_Isend,0.000093
MPI_Isend,0.000845
MPI_Isend,0.000045
MPI_Isend,0.008014
MPI_Isend,0.006817
MPI_Isend,0.005755
MPI_Isend,0.000078
MPI_Isend,0.003002
MPI_Isend,0.003248
MPI_Isend,0.005730
MPI_Isend,0.003118
MPI_Isend,0.005584
MPI_Isend,0.003255
MPI_Isend,0.006065
MPI_Ibcast,0.000340
MPI_Wait,0.011101
MPI_Irecv,0.000007
MPI_Wait,0.053808
MPI_Irecv,0.000002
MPI_Wait,0.000172
MPI_Irecv,0.000000
MPI_Wait,0.002039
MPI_Irecv,0.000064
MPI_Wait,0.000153
MPI_Irecv,0.000055
MPI_Wait,0.000147
MPI_Irecv,0.000037
MPI_Wait,0.000124
MPI_Irecv,0.000033
MPI_Wait,0.000164
MPI_Irecv,0.000039
MPI_Wait,0.000122
MPI_Irecv,0.000029
MPI_Wait,0.000118
MPI_Irecv,0.000032
MPI_Wait,0.000114
MPI_Irecv,0.000034
MPI_Wait,0.000160
MPI_Irecv,0.000000
MPI_Wait,0.019935
MPI_Irecv,0.000028
MPI_Wait,0.000132
MPI_Irecv,0.000001
MPI_Wait,0.042795
MPI_Irecv,0.000448
MPI_Wait,0.000082
ELAPSED_TIME,0.585263
MPI_Finalize,1.637782
